,English Word,French Word,Frequency
0,abide,respecter,42
1,about,sur,370
2,above,au dessus,124
3,abroad,à l'étranger,63
4,absence,absence,55
5,abuse,abuser de,73
6,according,selon,34
7,account,Compte,54
8,accuse,accuser,49
9,acquainted,connaissance,41
10,action,action,231
11,advantage,avantage,86
12,advice,Conseil,43
13,affairs,affaires,66
14,affection,affection,113
15,affections,affections,40
16,afraid,peur,41
17,after,après,462
18,afterwards,ensuite,38
19,again,encore,1212
20,alive,vivant,89
21,almost,presque,139
22,alone,seul,232
23,along,le long de,108
24,already,déjà,139
25,although,bien que,37
26,always,toujours,59
27,ambition,ambition,46
28,ancient,ancien,75
29,angel,ange,126
30,anger,colère,353
31,another,un autre,370
32,answer,répondre,455
33,anything,n'importe quoi,100
34,apparel,vêtements,47
35,appear,apparaître,213
36,appears,apparaît,49
37,approach,approche,87
38,argument,argument,78
39,armour,armure,54
40,aside,de côté,132
41,asleep,endormi,59
42,assure,assurer,63
43,attend,assister,279
44,attended,assisté,43
45,authority,autorité,51
46,avoid,éviter,48
47,awake,éveillé,68
48,awhile,quelque temps,101
49,banish,bannir,192
50,barren,Dénudé,40
51,bastard,Connard,90
52,battle,bataille,146
53,beard,barbe,124
54,bearing,palier,66
55,bears,ours,105
56,beast,la bête,129
57,beaten,battu,48
58,beauty,beauté,224
59,because,car,81
60,become,devenir,184
61,before,avant,629
62,beggar,mendiant,119
63,begin,commencer,173
64,behalf,nom,46
65,behind,derrière,114
66,behold,voir,154
67,being,étant,548
68,believe,croyez,197
69,belike,être comme,22
70,below,au dessous de,52
71,benefit,avantage,47
72,besides,outre,49
73,betray,trahir,67
74,better,mieux,583
75,between,entre,195
76,beyond,au-delà,43
77,birth,naissance,101
78,bishop,évêque,36
79,bitter,amer,95
80,black,noir,172
81,blame,faire des reproches,93
82,bless,bénir,244
83,blessing,bénédiction,62
84,blest,heureux,80
85,blind,aveugle,102
86,blood,du sang,933
87,blows,coups,70
88,blunt,cru,38
89,blush,rougir,84
90,bodies,corps,44
91,bones,des os,76
92,borne,supporté,93
93,bottom,bas,40
94,bought,acheté,51
95,bound,lié,219
96,bounty,prime,41
97,brain,cerveau,148
98,brains,cerveaux,49
99,brave,courageux,205
100,breast,Sein,116
101,breath,souffle,350
102,breed,race,106
103,brief,bref,100
104,bright,brillant,80
105,bring,apporter,447
106,broke,cassé,234
107,brook,ruisseau,50
108,brother,frère,682
109,brought,apporté,186
110,brows,sourcils,49
111,burden,fardeau,59
112,buried,enterré,56
113,burning,brûlant,51
114,business,Entreprise,235
115,cannot,ne peux pas,718
